Zone,Hierarchy Path,Sprite Asset,Sprite Name,Pixel Width,Pixel Height,PPU,Local Scale X,Local Scale Y,World Scale X,World Scale Y,World Width,World Height,Sorting Layer,Order,Enabled
"Zone08","_World/World/Zone08/ResourcesNode/Decors/solid (4)","Assets/Arts/ResourcesNode/Enviroment/solid.png","solid","64","64","88","1","1","1","1","0.727","0.727","Default","0","true"
"Zone08","_World/World/Zone08/ResourcesNode/Harvest/Tomato_Map","Assets/Arts/ResourcesNode/Harvest/Tomato/Tomato_Map.png","Tomato_Map","64","64","64","1","1","1","1","1","1","Default","0","true"
"Zone08","_World/World/Zone08/ResourcesNode/Harvest/Tomato_Map (1)","Assets/Arts/ResourcesNode/Harvest/Tomato/Tomato_Map.png","Tomato_Map","64","64","64","1","1","1","1","1","1","Default","0","true"
"Zone08_Fog","_World/World/Zone08/Zone08_Fog/Button_Unlock","Assets/Arts/UI/padlock_lock.png","padlock_lock","48","48","32","1","1","1","1","1.5","1.5","Default","3","true"
"Zone09","_World/World/Zone09/ResourcesNode/Decors/BigStone_Cave_Moss","Assets/Arts/ResourcesNode/Enviroment/Cave/BigStone_Cave_Moss.png","BigStone_Cave_Moss","64","64","64","1","1","1","1","1","1","Default","9400","true"
"Zone09","_World/World/Zone09/ResourcesNode/Decors/BigStone_Cave_Moss (1)","Assets/Arts/ResourcesNode/Enviroment/Cave/BigStone_Cave_Moss.png","BigStone_Cave_Moss","64","64","64","1","1","1","1","1","1","Default","9199","true"
"Zone09","_World/World/Zone09/ResourcesNode/Decors/BigStone_Cave_Moss (2)","Assets/Arts/ResourcesNode/Enviroment/Cave/BigStone_Cave_Moss.png","BigStone_Cave_Moss","64","64","64","1","1","1","1","1","1","Default","8871","true"
"Zone09","_World/World/Zone09/ResourcesNode/Decors/Cave_grass_idle_animation_0","Assets/Arts/ResourcesNode/Enviroment/Cave/Cave_grass_idle_animation.png","Cave_grass_idle_animation_0","32","32","100","1","1","1","1","0.32","0.32","Default","9379","true"
"Zone09","_World/World/Zone09/ResourcesNode/Decors/Cave_grass_idle_animation_0 (1)","Assets/Arts/ResourcesNode/Enviroment/Cave/Cave_grass_idle_animation.png","Cave_grass_idle_animation_0","32","32","100","1","1","1","1","0.32","0.32","Default","9242","true"
"Zone09","_World/World/Zone09/ResourcesNode/Decors/Cave_grass_idle_animation_0 (2)","Assets/Arts/ResourcesNode/Enviroment/Cave/Cave_grass_idle_animation.png","Cave_grass_idle_animation_0","32","32","100","1","1","1","1","0.32","0.32","Default","9004","true"
"Zone09","_World/World/Zone09/ResourcesNode/Decors/Cave_grass_idle_animation_0 (3)","Assets/Arts/ResourcesNode/Enviroment/Cave/Cave_grass_idle_animation.png","Cave_grass_idle_animation_0","32","32","100","1","1","1","1","0.32","0.32","Default","9009","true"
"Zone09","_World/World/Zone09/ResourcesNode/Decors/Cave_grass_idle_animation_0 (4)","Assets/Arts/ResourcesNode/Enviroment/Cave/Cave_grass_idle_animation.png","Cave_grass_idle_animation_0","32","32","100","1","1","1","1","0.32","0.32","Default","9215","true"
"Zone09","_World/World/Zone09/ResourcesNode/Decors/Cave_grass_idle_animation_0 (5)","Assets/Arts/ResourcesNode/Enviroment/Cave/Cave_grass_idle_animation.png","Cave_grass_idle_animation_0","32","32","100","1","1","1","1","0.32","0.32","Default","9090","true"
"Zone09","_World/World/Zone09/ResourcesNode/Decors/Cave_grass_idle_animation_0 (6)","Assets/Arts/ResourcesNode/Enviroment/Cave/Cave_grass_idle_animation.png","Cave_grass_idle_animation_0","32","32","100","1","1","1","1","0.32","0.32","Default","8984","true"
"Zone09","_World/World/Zone09/ResourcesNode/Decors/Cave_grass_idle_animation_0 (7)","Assets/Arts/ResourcesNode/Enviroment/Cave/Cave_grass_idle_animation.png","Cave_grass_idle_animation_0","32","32","100","1","1","1","1","0.32","0.32","Default","8907","true"
"Zone09","_World/World/Zone09/ResourcesNode/Decors/Cave_grass_idle_animation_0 (8)","Assets/Arts/ResourcesNode/Enviroment/Cave/Cave_grass_idle_animation.png","Cave_grass_idle_animation_0","32","32","100","1","1","1","1","0.32","0.32","Default","9121","true"
"Zone09","_World/World/Zone09/ResourcesNode/Decors/Stone_Cave_Moss","Assets/Arts/ResourcesNode/Enviroment/Cave/Stone_Cave_Moss.png","Stone_Cave_Moss","64","64","64","1","1","1","1","1","1","Default","9044","true"
"Zone09","_World/World/Zone09/ResourcesNode/Decors/Stone_Cave_Moss (1)","Assets/Arts/ResourcesNode/Enviroment/Cave/Stone_Cave_Moss.png","Stone_Cave_Moss","64","64","64","1","1","1","1","1","1","Default","8969","true"
"Zone09","_World/World/Zone09/ResourcesNode/Decors/Stone_Cave_Moss (2)","Assets/Arts/ResourcesNode/Enviroment/Cave/Stone_Cave_Moss.png","Stone_Cave_Moss","64","64","64","1","1","1","1","1","1","Default","9067","true"
"Zone09","_World/World/Zone09/ResourcesNode/Decors/Stone_Cave_Moss (3)","Assets/Arts/ResourcesNode/Enviroment/Cave/Stone_Cave_Moss.png","Stone_Cave_Moss","64","64","64","1","1","1","1","1","1","Default","9039","true"
"Zone09","_World/World/Zone09/ResourcesNode/Decors/grass_tilemap00 (10)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone09","_World/World/Zone09/ResourcesNode/Decors/grass_tilemap00 (11)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone09","_World/World/Zone09/ResourcesNode/Decors/grass_tilemap00 (12)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone09","_World/World/Zone09/ResourcesNode/Decors/grass_tilemap00 (13)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone09","_World/World/Zone09/ResourcesNode/Decors/grass_tilemap00 (14)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone09","_World/World/Zone09/ResourcesNode/Decors/grass_tilemap00 (15)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone09","_World/World/Zone09/ResourcesNode/Decors/grass_tilemap00 (16)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone09","_World/World/Zone09/ResourcesNode/Decors/grass_tilemap00 (17)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone09","_World/World/Zone09/ResourcesNode/Decors/grass_tilemap00 (18)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone09","_World/World/Zone09/ResourcesNode/Decors/grass_tilemap00 (19)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone09","_World/World/Zone09/ResourcesNode/Decors/grass_tilemap00 (20)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone09","_World/World/Zone09/ResourcesNode/Decors/grass_tilemap00 (21)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone09","_World/World/Zone09/ResourcesNode/Decors/grass_tilemap00 (22)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone09","_World/World/Zone09/ResourcesNode/Decors/grass_tilemap00 (23)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone09","_World/World/Zone09/ResourcesNode/Decors/grass_tilemap00 (24)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone09","_World/World/Zone09/ResourcesNode/Decors/grass_tilemap00 (25)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone09","_World/World/Zone09/ResourcesNode/Decors/grass_tilemap00 (26)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone09","_World/World/Zone09/ResourcesNode/Decors/grass_tilemap00 (9)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone09","_World/World/Zone09/ResourcesNode/Harvest/Crystal_Cluster_Map","Assets/Arts/ResourcesNode/Enviroment/Cave/Crystal_Cluster_Map.png","Crystal_Cluster_Map","64","64","64","1","1","1","1","1","1","Default","9285","true"
"Zone09","_World/World/Zone09/ResourcesNode/Harvest/Crystal_Cluster_Map (1)","Assets/Arts/ResourcesNode/Enviroment/Cave/Crystal_Cluster_Map.png","Crystal_Cluster_Map","64","64","64","1","1","1","1","1","1","Default","9013","true"
"Zone09","_World/World/Zone09/ResourcesNode/Harvest/Crystal_Cluster_Map (1)/ReadyBubble","Assets/Arts/UI/Bubble_32x28.png","Bubble_32x28","32","28","64","1.478","1.48","1.478","1.48","0.739","0.648","Default","10","true"
"Zone09","_World/World/Zone09/ResourcesNode/Harvest/Crystal_Cluster_Map (1)/ReadyBubble/AppleIcon","Assets/Arts/UI/Apple.png","Apple","16","16","16","0.2","0.2","0.296","0.296","0.296","0.296","Default","10","true"
"Zone09","_World/World/Zone09/ResourcesNode/Harvest/Crystal_Cluster_Map/ReadyBubble","Assets/Arts/UI/Bubble_32x28.png","Bubble_32x28","32","28","64","1.478","1.48","1.478","1.48","0.739","0.648","Default","10","true"
"Zone09","_World/World/Zone09/ResourcesNode/Harvest/Crystal_Cluster_Map/ReadyBubble/AppleIcon","Assets/Arts/UI/Apple.png","Apple","16","16","16","0.2","0.2","0.296","0.296","0.296","0.296","Default","10","true"
"Zone09_Fog","_World/World/Zone09/Zone09_Fog/Button_Unlock","Assets/Arts/UI/padlock_lock.png","padlock_lock","48","48","32","1","1","1","1","1.5","1.5","Default","3","true"
"Zone10","_World/World/Zone10/ResourcesNode/Decors/Cave_grass_idle_animation_0","Assets/Arts/ResourcesNode/Enviroment/Cave/Cave_grass_idle_animation.png","Cave_grass_idle_animation_0","32","32","100","1","1","1","1","0.32","0.32","Default","9362","true"
"Zone10","_World/World/Zone10/ResourcesNode/Decors/Single_Stalagmite","Assets/Arts/ResourcesNode/Enviroment/Cave/Single_Stalagmite.png","Single_Stalagmite","64","64","64","1","1","1","1","1","1","Default","9257","true"
"Zone10","_World/World/Zone10/ResourcesNode/Decors/Single_Stalagmite (1)","Assets/Arts/ResourcesNode/Enviroment/Cave/Single_Stalagmite.png","Single_Stalagmite","64","64","64","1","1","1","1","1","1","Default","9304","true"
"Zone10","_World/World/Zone10/ResourcesNode/Decors/Single_Stalagmite (2)","Assets/Arts/ResourcesNode/Enviroment/Cave/Single_Stalagmite.png","Single_Stalagmite","64","64","64","1","1","1","1","1","1","Default","9110","true"
"Zone10","_World/World/Zone10/ResourcesNode/Decors/Stalagmite_Cluster","Assets/Arts/ResourcesNode/Enviroment/Cave/Stalagmite_Cluster.png","Stalagmite_Cluster","64","64","64","1","1","1","1","1","1","Default","9109","true"
"Zone10","_World/World/Zone10/ResourcesNode/Decors/Stalagmite_Cluster (1)","Assets/Arts/ResourcesNode/Enviroment/Cave/Stalagmite_Cluster.png","Stalagmite_Cluster","64","64","64","1","1","1","1","1","1","Default","8943","true"
"Zone10","_World/World/Zone10/ResourcesNode/Decors/Stalagmite_Cluster (2)","Assets/Arts/ResourcesNode/Enviroment/Cave/Stalagmite_Cluster.png","Stalagmite_Cluster","64","64","64","1","1","1","1","1","1","Default","8957","true"
"Zone10","_World/World/Zone10/ResourcesNode/Decors/grass_tilemap00 (10)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone10","_World/World/Zone10/ResourcesNode/Decors/grass_tilemap00 (11)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone10","_World/World/Zone10/ResourcesNode/Decors/grass_tilemap00 (12)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone10","_World/World/Zone10/ResourcesNode/Decors/grass_tilemap00 (13)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone10","_World/World/Zone10/ResourcesNode/Decors/grass_tilemap00 (14)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone10","_World/World/Zone10/ResourcesNode/Decors/grass_tilemap00 (15)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone10","_World/World/Zone10/ResourcesNode/Decors/grass_tilemap00 (16)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone10","_World/World/Zone10/ResourcesNode/Decors/grass_tilemap00 (17)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone10","_World/World/Zone10/ResourcesNode/Decors/grass_tilemap00 (18)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone10","_World/World/Zone10/ResourcesNode/Decors/grass_tilemap00 (19)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone10","_World/World/Zone10/ResourcesNode/Decors/grass_tilemap00 (20)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone10","_World/World/Zone10/ResourcesNode/Decors/grass_tilemap00 (21)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone10","_World/World/Zone10/ResourcesNode/Decors/grass_tilemap00 (22)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone10","_World/World/Zone10/ResourcesNode/Decors/grass_tilemap00 (23)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone10","_World/World/Zone10/ResourcesNode/Decors/grass_tilemap00 (24)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone10","_World/World/Zone10/ResourcesNode/Decors/grass_tilemap00 (25)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone10","_World/World/Zone10/ResourcesNode/Decors/grass_tilemap00 (26)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone10","_World/World/Zone10/ResourcesNode/Decors/grass_tilemap00 (9)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone10","_World/World/Zone10/ResourcesNode/Harvest/Crystal_Cluster_Map","Assets/Arts/ResourcesNode/Enviroment/Cave/Crystal_Cluster_Map.png","Crystal_Cluster_Map","64","64","64","1","1","1","1","1","1","Default","9280","true"
"Zone10","_World/World/Zone10/ResourcesNode/Harvest/Crystal_Cluster_Map/ReadyBubble","Assets/Arts/UI/Bubble_32x28.png","Bubble_32x28","32","28","64","1.478","1.48","1.478","1.48","0.739","0.648","Default","10","true"
"Zone10","_World/World/Zone10/ResourcesNode/Harvest/Crystal_Cluster_Map/ReadyBubble/AppleIcon","Assets/Arts/UI/Apple.png","Apple","16","16","16","0.2","0.2","0.296","0.296","0.296","0.296","Default","10","true"
"Zone10","_World/World/Zone10/ResourcesNode/Harvest/glowing_mushroom_map","Assets/Arts/ResourcesNode/Harvest/GlowingMushroom/glowing_mushroom_map.png","glowing_mushroom_map","64","64","100","1","1","1","1","0.64","0.64","Default","9159","true"
"Zone10","_World/World/Zone10/ResourcesNode/Harvest/glowing_mushroom_map (1)","Assets/Arts/ResourcesNode/Harvest/GlowingMushroom/glowing_mushroom_map.png","glowing_mushroom_map","64","64","100","1","1","1","1","0.64","0.64","Default","8988","true"
"Zone10_Fog","_World/World/Zone10/Zone10_Fog/Button_Unlock","Assets/Arts/UI/padlock_lock.png","padlock_lock","48","48","32","1","1","1","1","1.5","1.5","Default","3","true"
"Zone11","_World/World/Zone11/ResourcesNode/Decors/Cave_grass_idle_animation_0","Assets/Arts/ResourcesNode/Enviroment/Cave/Cave_grass_idle_animation.png","Cave_grass_idle_animation_0","32","32","100","1","1","1","1","0.32","0.32","Default","9344","true"
"Zone11","_World/World/Zone11/ResourcesNode/Decors/Single_Stalagmite","Assets/Arts/ResourcesNode/Enviroment/Cave/Single_Stalagmite.png","Single_Stalagmite","64","64","64","1","1","1","1","1","1","Default","9239","true"
"Zone11","_World/World/Zone11/ResourcesNode/Decors/Single_Stalagmite (1)","Assets/Arts/ResourcesNode/Enviroment/Cave/Single_Stalagmite.png","Single_Stalagmite","64","64","64","1","1","1","1","1","1","Default","9351","true"
"Zone11","_World/World/Zone11/ResourcesNode/Decors/Stalagmite_Cluster","Assets/Arts/ResourcesNode/Enviroment/Cave/Stalagmite_Cluster.png","Stalagmite_Cluster","64","64","64","1","1","1","1","1","1","Default","9091","true"
"Zone11","_World/World/Zone11/ResourcesNode/Decors/Stalagmite_Cluster (1)","Assets/Arts/ResourcesNode/Enviroment/Cave/Stalagmite_Cluster.png","Stalagmite_Cluster","64","64","64","1","1","1","1","1","1","Default","8917","true"
"Zone11","_World/World/Zone11/ResourcesNode/Decors/Stalagmite_Cluster (2)","Assets/Arts/ResourcesNode/Enviroment/Cave/Stalagmite_Cluster.png","Stalagmite_Cluster","64","64","64","1","1","1","1","1","1","Default","8988","true"
"Zone11","_World/World/Zone11/ResourcesNode/Decors/Stalagmite_Cluster (3)","Assets/Arts/ResourcesNode/Enviroment/Cave/Stalagmite_Cluster.png","Stalagmite_Cluster","64","64","64","1","1","1","1","1","1","Default","8905","true"
"Zone11","_World/World/Zone11/ResourcesNode/Decors/grass_tilemap00 (10)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone11","_World/World/Zone11/ResourcesNode/Decors/grass_tilemap00 (11)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone11","_World/World/Zone11/ResourcesNode/Decors/grass_tilemap00 (12)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone11","_World/World/Zone11/ResourcesNode/Decors/grass_tilemap00 (13)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone11","_World/World/Zone11/ResourcesNode/Decors/grass_tilemap00 (14)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone11","_World/World/Zone11/ResourcesNode/Decors/grass_tilemap00 (15)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone11","_World/World/Zone11/ResourcesNode/Decors/grass_tilemap00 (16)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone11","_World/World/Zone11/ResourcesNode/Decors/grass_tilemap00 (17)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone11","_World/World/Zone11/ResourcesNode/Decors/grass_tilemap00 (18)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone11","_World/World/Zone11/ResourcesNode/Decors/grass_tilemap00 (19)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone11","_World/World/Zone11/ResourcesNode/Decors/grass_tilemap00 (20)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone11","_World/World/Zone11/ResourcesNode/Decors/grass_tilemap00 (21)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone11","_World/World/Zone11/ResourcesNode/Decors/grass_tilemap00 (22)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone11","_World/World/Zone11/ResourcesNode/Decors/grass_tilemap00 (23)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone11","_World/World/Zone11/ResourcesNode/Decors/grass_tilemap00 (24)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone11","_World/World/Zone11/ResourcesNode/Decors/grass_tilemap00 (25)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone11","_World/World/Zone11/ResourcesNode/Decors/grass_tilemap00 (26)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone11","_World/World/Zone11/ResourcesNode/Decors/grass_tilemap00 (9)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone11","_World/World/Zone11/ResourcesNode/Harvest/Crystal_Cluster_Map","Assets/Arts/ResourcesNode/Enviroment/Cave/Crystal_Cluster_Map.png","Crystal_Cluster_Map","64","64","64","1","1","1","1","1","1","Default","9287","true"
"Zone11","_World/World/Zone11/ResourcesNode/Harvest/Crystal_Cluster_Map/ReadyBubble","Assets/Arts/UI/Bubble_32x28.png","Bubble_32x28","32","28","64","1.478","1.48","1.478","1.48","0.739","0.648","Default","10","true"
"Zone11","_World/World/Zone11/ResourcesNode/Harvest/Crystal_Cluster_Map/ReadyBubble/AppleIcon","Assets/Arts/UI/Apple.png","Apple","16","16","16","0.2","0.2","0.296","0.296","0.296","0.296","Default","10","true"
"Zone11","_World/World/Zone11/ResourcesNode/Harvest/glowing_mushroom_map","Assets/Arts/ResourcesNode/Harvest/GlowingMushroom/glowing_mushroom_map.png","glowing_mushroom_map","64","64","100","1","1","1","1","0.64","0.64","Default","9166","true"
"Zone11","_World/World/Zone11/ResourcesNode/Harvest/glowing_mushroom_map (1)","Assets/Arts/ResourcesNode/Harvest/GlowingMushroom/glowing_mushroom_map.png","glowing_mushroom_map","64","64","100","1","1","1","1","0.64","0.64","Default","8995","true"
"Zone11_Fog","_World/World/Zone11/Zone11_Fog/Button_Unlock","Assets/Arts/UI/padlock_lock.png","padlock_lock","48","48","32","1","1","1","1","1.5","1.5","Default","3","true"
"Zone12","_World/World/Zone12/ResourcesNode/Decors/BigStone_Cave_Moss","Assets/Arts/ResourcesNode/Enviroment/Cave/BigStone_Cave_Moss.png","BigStone_Cave_Moss","64","64","64","1","1","1","1","1","1","Default","9368","true"
"Zone12","_World/World/Zone12/ResourcesNode/Decors/BigStone_Cave_Moss (1)","Assets/Arts/ResourcesNode/Enviroment/Cave/BigStone_Cave_Moss.png","BigStone_Cave_Moss","64","64","64","1","1","1","1","1","1","Default","9110","true"
"Zone12","_World/World/Zone12/ResourcesNode/Decors/Cave_grass_idle_animation_0","Assets/Arts/ResourcesNode/Enviroment/Cave/Cave_grass_idle_animation.png","Cave_grass_idle_animation_0","32","32","100","1","1","1","1","0.32","0.32","Default","9347","true"
"Zone12","_World/World/Zone12/ResourcesNode/Decors/Stone_Cave_Moss","Assets/Arts/ResourcesNode/Enviroment/Cave/Stone_Cave_Moss.png","Stone_Cave_Moss","64","64","64","1","1","1","1","1","1","Default","9012","true"
"Zone12","_World/World/Zone12/ResourcesNode/Decors/Stone_Cave_Moss (1)","Assets/Arts/ResourcesNode/Enviroment/Cave/Stone_Cave_Moss.png","Stone_Cave_Moss","64","64","64","1","1","1","1","1","1","Default","8937","true"
"Zone12","_World/World/Zone12/ResourcesNode/Decors/Stone_Cave_Moss (2)","Assets/Arts/ResourcesNode/Enviroment/Cave/Stone_Cave_Moss.png","Stone_Cave_Moss","64","64","64","1","1","1","1","1","1","Default","9035","true"
"Zone12","_World/World/Zone12/ResourcesNode/Decors/Stone_Cave_Moss (3)","Assets/Arts/ResourcesNode/Enviroment/Cave/Stone_Cave_Moss.png","Stone_Cave_Moss","64","64","64","1","1","1","1","1","1","Default","9007","true"
"Zone12","_World/World/Zone12/ResourcesNode/Decors/decor_cave-sheet","Assets/Arts/ResourcesNode/Enviroment/Cave/decor_cave-sheet.png","decor_cave-sheet","64","64","64","1","1","1","1","1","1","Default","0","true"
"Zone12","_World/World/Zone12/ResourcesNode/Decors/grass_tilemap00 (10)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone12","_World/World/Zone12/ResourcesNode/Decors/grass_tilemap00 (11)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone12","_World/World/Zone12/ResourcesNode/Decors/grass_tilemap00 (12)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
